"Year";"Type";"Area";"Activity";"Sex ";"Age";"Injury";"Fatal (Y/N)";"Species "
"1962";"Watercraft";"Western Cape Province";"Fishing";;;"No injury to occupants, shark hit boat, lifting it from the water, bit & dented propeller";"N";"4.3 m [14'] shark"
"1962";"Watercraft";"Western Cape Province";"On a ""shark hunt""";;;"No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00";"N";"2.7 m to 3 m [9' to 10'] sharks"
"1962";"Unprovoked";"KwaZulu-Natal";"Wading";"M";"13";"Left ankle & foot bitten";"N";"Zambesi shark, 1.2 m [4'] "
"1962";"Provoked";"Eastern Cape Province";"Fishing";;;"Hooked shark bit boat PROVOKED INCIDENT";"N";"4.9 m [16']shark"
"1962";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"22";"FATAL, calf bitten twice";"Y";
"1962";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"13";"FATAL, tissue removed from thigh, femoral artery severed ";"Y";"White shark, 3 m "
"1962";"Invalid";"KwaZulu-Natal";"Fishing, slipped on rocks & fell into sea";"M";"40";"Possible drowning / post mortem scavenging by Zambesi shark";;"Shark involvement prior to death was not confirmed"
"1962";"Watercraft";"Western Cape Province";"Fishing";;;"Shark rammed boat 5 times & holed it";"N";
"1961";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"18";"Lower right leg & ankle bitten";"N";"Zambesi shark"
"1961";"Provoked";"Eastern Cape Province";"Diving";"M";;"Shark bit swimfin after diver kicked shark PROVOKED INCIDENT";"N";"2 m  ""yellow belly"" captive shark. Shark destroyed by aquarium staff next day"
"1961";"Provoked";"KwaZulu-Natal";"Fishing";"M";"44";"Landed shark in boat bit his left leg  PROVOKED INCIDENT";"N";"Zambesi shark, 4'9"""
"1961";"Unprovoked";"Western Cape Province";"Spearfishing, shark grabbed his white t-shirt and towed him ";"M";"27";"Torso bruised & abraded ";"N";"1.5 m [5'] shark"
"1961";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"14";"FATAL, multiple injuries to both legs, feet & left arm  ";"Y";"2.1 m [7'], 90-kg shark"
"1961";"Watercraft";"Western Cape Province";"Fishing for kob";;;"No injury to occupants, shark took a gaffed fish they were bringing aboard & hit their boat";"N";"4.6 m [15'] shark"
"1961";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"15";"Left thigh bitten ";"N";"White shark"
"1961";"Unprovoked";"KwaZulu-Natal";"Standing";"M";"13";"Right foot, leg and hand bitten";"N";"White shark, based on bite pattern"
"1961";"Unprovoked";"Western Cape Province";"Standing";"M";"25 or 28";"Lower left leg bitten, abrasions on back of right leg";"N";
"1961";"Invalid";"KwaZulu-Natal";;;;"Human remains (patella & remnants of black swim suit) found in 147-kg raggedtooth shark";;"Shark involvement prior to death was not confirmed"
"1960";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"25";"FATAL, legs severed ";"Y";"White shark, 3 m [10'], tooth fragment from wounds identified as that of a white shark"
"1960";"Watercraft";"Western Cape Province";"Hand lining for shad";;;"No injury to occupants, shark bit 45 cm hole in hull";"N";"White shark (tooth fragments recovered from hull of boat)"
"1960";"Watercraft";"Western Cape Province";"Fishing for rock lobsters";;;"No injury to occupants, shark rammed & bit  boat";"N";"White shark, 3.7 m to 4.6 m [12' to 15'] "
"1960";"Watercraft";"Western Cape Province";"Fishing";;;"Shark rammed boat, breaching its hull";"N";"White shark, 18 mm tooth fragment  recovered from the hull"
"1960";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"16";"Multiple major injuries";"N";"White shark, 2.1 m [7']  based on tooth pattern"
"1960";"Provoked";"Eastern Cape Province";"Fishing";"M";;"Gaffed shark bit his ankle PROVOKED INCIDENT";"N";"Raggedtooth shark, 100-lb "
"1960";"Watercraft";"Western Cape Province";"Fishing";;;"Shark rammed boat & bit transom";"N";"White shark (tooth fragments recovered)"
"1960";"Provoked";"Western Cape Province";"Standing, watching seine netters";"F";;"Left leg bitten by shark that escaped net  PROVOKED INCIDENT";"N";
"1960";"Unprovoked";"Eastern Cape Province";"Wading";"F";;"Heel lacerated, hand lacerated & abraded";"N";"2.1 m [7'] shark"
"1959";"Watercraft";"Western Cape Province";"Fishing for tunny";;;"R. Roberts' leg was bruised when shark leapt into boat";"N";"Thresher shark, 3.7 m [12'] "
"1959";"Provoked";"Eastern Cape Province";"Spearfishing";"M";"23";"No injury, diver shot shark & it bit his speargun PROVOKED INCIDENT";"N";"White shark, 2.7 m [9'], 280-lb "
"1959";"Unprovoked";"Eastern Cape Province";"Fishing";"M";;"2 toes bitten off ";"N";
"1959";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"14";"Leg severed below knee";"N";"1.8 to 2.1 m [6' to 7'] shark"
"1959";"Unprovoked";"Western Cape Province";"Swimming";"M";"18";"Thigh & both wrists lacerated";"N";"White shark, 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness"
"1958";"Unprovoked";"Western Cape Province";"Swimming";"M";"14";"FATAL";"Y";
"1958";"Invalid";"Western Cape Province";"Fishing";"M";;"No injury, shark leapt at him";;"Questionable incident"
"1958";"Invalid";"KwaZulu-Natal";"Spearfishing";"M";;"Injuries not caused by sharks";;"Invalid"
"1958";"Unprovoked";"KwaZulu-Natal";"Paddling in knee-deep water";"F";"28";"FATAL";"Y";"3 m [10'] shark"
"1958";"Unprovoked";"KwaZulu-Natal";"Swimming with goggles";"M";"29";"FATAL, arm severed above elbow, abdomen & leg bitten  ";"Y";"3 m [10'] shark"
"1958";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";;"FATAL";"Y";"White shark"
"1958";"Boat";"Western Cape Province";"Fishing (trolling)";;;"No injury to occupants; shark bit propeller";"N";"White shark"
"1958";"Unprovoked";"KwaZulu-Natal";"Fishing, walking in river to cast";"M";;"FATAL, right leg severed above knee  ";"Y";
"1957";"Unprovoked";"KwaZulu-Natal";"Standing";"F";"14";"Left arm severed, torso bitten, thigh lacerated, many abrasions";"N";"1.8 m [6'] shark"
"1957";"Unprovoked";"KwaZulu-Natal";"Skindiving";"M";"20";"Lacerations on head & neck";"N";
"1957";"Unprovoked";"KwaZulu-Natal";"Floating";"M";"23";"FATAL, right arm broken & stripped of flesh, left hand severed above wrist, lower abdomen, buttocks & thigh bitten  ";"Y";">3 m [10'] shark"
"1957";"Unprovoked";"KwaZulu-Natal";"Standing";"M";"15";"FATAL, multiple, severe injuries  ";"Y";
"1957";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"16";"Left leg severed at knee, part of left thigh removed";"N";
"1957";"Unprovoked";"KwaZulu-Natal";"Wading";"M";"12";"FATAL";"Y";
"1956";"Unprovoked";"Western Cape Province";"Free diving for sinkers";"M";"29";"Right heel lacerated & swim fin removed by shark";"N";"White shark, according to witnesses"
"1956";"Unprovoked";"KwaZulu-Natal";"Free diving for crayfish";"M";"23";"No injury, right swim fin bitten";"N";
"1956";"Watercraft";"Western Cape Province";"Fishing";;;"No injury, sharks bit propellers, etc";"N";"White shark"
"1955";"Unprovoked";"KwaZulu-Natal";"Crossing the bay at the ford";"M";;"FATAL, leg bitten ";"Y";
"1954";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"16";"Shallow lacerations on torso";"N";
"1953";"Unprovoked";"Eastern Cape Province";"Swimming";"F";;"Left calf lacerated";"N";"Said to involve a >4 m [13'] shark"
"1953";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"23";"Lacerations to arm";"N";
"1952";"Invalid";"Eastern Cape Province";;"M";"18";"Possibly drowned, remains recovered days later in gut of  113-kg [249-lb]  female Zambesi shark ";;"Shark involvement prior to death was not confirmed"
"1951";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"23";"Thigh bruised & abraded";"N";"White shark, 1.8 m [6'] "
"1951";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"24";"Leg severed below knee, defense wounds on hand";"N";"White shark, 2.4 m [8'] "
"1951";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"19";"Left foot lacerated";"N";
"1951";"Unprovoked";"Eastern Cape Province";"Body surfing";"M";"31";"Leg bitten, defense wounds on hands";"N";"136-kg [300-lb] shark"
"1951";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"19";"FATAL, right thigh bitten, leg severed at knee";"Y";
"1950";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"27";"Left foot bitten";"N";
"1950";"Unprovoked";"Eastern Cape Province";"Fishing, sitting in stern of small boat, feet dangling in the water";"M";;"Shark bit foot, removing 2 toes";"N";"2.13 m shark"
"1950";"Unprovoked";"Eastern Cape Province";"Wading";"M";;"Ankle & foot lacerated, defense wounds on hand";"N";"1.5 m to 1.8 m [5' to 6'] “spear-eye” shark "
"1950";"Unprovoked";"KwaZulu-Natal";"Lifesaving drill";"M";"20";"FATAL";"Y";
"1950";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"14";"FATAL, body not recovered ";"Y";"White shark, 3.7 m [12']  according to witnesses"
"1948";"Provoked";"Western Cape Province";"Bringing hooked, harpooned shark onboard boat";"M";;"Groenwald's arm lacerated by the shark PROVOKED INCIDENT";"N";
"1948";"Watercraft";"Western Cape Province";"Fishing";;;"No injury to occupants, boat holed by shark";"N";
"1947";"Invalid";"KwaZulu-Natal";;;;"Human remains, possibly one of the crew of the wrecked fishing boat John Bull. found in 277-kg tiger shark.";;"Shark involvement prior to death not confirmed"
"1947";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"20";"Right thigh lacerated";"N";
"1947";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"21";"Ankle & shin lacerated";"N";"1.5 m, 45-kg shark"
"1947";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"14";"Thigh severely lacerated, shin & calf lacerated";"N";
"1947";"Unprovoked";"KwaZulu-Natal";"Wading";"M";"18";"Hip abraded, right calf severely lacerated";"N";
"1947";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"22";"Lacerations on buttock  &  right foot ";"N";"Blacktip shark, 2 m [6.75'] "
"1947";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"18";"Flexed left leg lacerated";"N";">1.6 m shark"
"1946";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"21";"Right arm severely lacerated";"N";
"1946";"Unprovoked";"KwaZulu-Natal";"Swimming ";"M";"18";"Flexed right  knee bitten";"N";
"1946";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"15";"Knee & calf lacerated";"N";
"1946";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";;"Foot severely lacerated";"N";
"1946";"Unprovoked";"Western Cape Province";"Jumping in swells";"M";"18";"Foot bitten";"N";"1.5 m [5'] shark"
"1946";"Unprovoked";"Eastern Cape Province";"Body surfing";"M";"24";"Calf lacerated";"N";
"1946";"Watercraft";"Western Cape Province";;;;"No injury to occupants, shark struck boats+K1581";"N";
"1946";"Watercraft";"Western Cape Province";;;;"Shark holed and sank boat, occupants rescued";"N";
"1945";"Unprovoked";"KwaZulu-Natal";"Walking";"M";"37";"Right leg bitten knee to foot, surgically amputated";"N";"Thought to involve a Zambesi shark"
"1944";"Unprovoked";"KwaZulu-Natal";"Swimming ";"M";"19";"FATAL, body not recovered";"Y";
"1944";"Unprovoked";"Western Cape Province";"Swimming";"M";"17";"FATAL, body not recovered";"Y";"White shark, according to witnesses"
"1944";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"18";"Left thigh bitten";"N";
"1944";"Unprovoked";"KwaZulu-Natal";"Standing";"M";"23";"FATAL, left thigh & calf bitten  ";"Y";
"1944";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"16";"Ankle severely lacerated";"N";
"1944";"Unprovoked";"Western Cape Province";"Treading water";"M";;"Foot & ankle lacerated";"N";"2.1 m [7'] shark"
"1944";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"22";"FATAL, right thigh lacerated, femoral artery severed ";"Y";
"1944";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"26";"FATAL, leg bitten knee to ankle & posterior tibial artery severed; died of toxemia 2 days later ";"Y";
"1943";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"17";"FATAL, abdomen, buttock & thigh lacerated  ";"Y";
"1943";"Unprovoked";"Eastern Cape Province";"Swimming with board";"M";;"Right foot lacerated";"N";
"1943";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"31";"FATAL, thigh lacerated, both calves bitten  ";"Y";
"1942";"Sea Disaster";"KwaZulu-Natal";"U-177 torpedoed & sank the troopship Nova Scotia";"M";;"192 survived, but 750 perished. Many were taken by sharks, including Levine";"Y";"1.8 m to 2.4 m [6' to 8'] sharks, most were oceanic whitetip sharks"
"1942";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"38";"Calf bitten, leg surgically amputated";"N";
"1942";"Unprovoked";"Western Cape Province";"Swimming ";"M";"18";"FATAL, body not recovered";"Y";"White shark, 4.5 m  to 6 m [14'9"" to 20'] according to witnesses"
"1942";"Watercraft";"Western Cape Province";;;;"No injury to occupants, boat rammed by shark";"N";
"1942";"Watercraft";"Western Cape Province";;;;"No injury";"N";"Said to involve a 6.5 m [21.5'] shark"
"1940";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"17";"FATAL, multiple injuries to legs & buttocks ";"Y";
"1940";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"25";"FATAL, right thigh & calf bitten ";"Y";"White shark, species identity confirmed by tooth pattern"
"1940";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"17";"FATAL, left thigh & knee bitten ";"Y";"White shark, 160-kg [353-lb], identity confirmed by tooth pattern"
"1940";"Unprovoked";"KwaZulu-Natal";"Swimming ";"M";"18";"FATAL, leg & thigh bitten  ";"Y";"2.4 m [8'] shark"
"1940";"Invalid";"Eastern Cape Province";"Swimming";;;"No details";;"Questionable incident"
"1940";"Invalid";"KwaZulu-Natal";;"F";;"FATAL";;"Questionable incident"
"1940";"Invalid";"Eastern Cape Province";"Standing in water with child in her arms";"F";;"Leg bitten";;"Questionable incident"
"1938";"Provoked";"KwaZulu-Natal";"Watching seine netters with friends, one of whom picked up a netted shark";"M";"13";"Leg bitten PROVOKED INCIDENT";"N";
"1938";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";;"""Mauled""";"N";
"1936";"Watercraft";"Western Cape Province";"Fishing, catching snoek, Thyrsites atun";;;"Shark leapt onboard & into fishwell, tossing a crew member, Pepino, in the sea";"N";
"1935";"Provoked";"KwaZulu-Natal";"Put foot inside a landed & supposedly dead shark";"M";;"Foot bitten, required 1 week hospitalization PROVOKED INCIDENT";"N";"White shark, 246-kg "
"1935";"Provoked";"KwaZulu-Natal";"Put foot inside mouth of supposedly dead shark";"M";;"Injury to foot    PROVOKED INCIDENT";"N";
"1934";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";;"FATAL";"Y";
"1934";"Unprovoked";"KwaZulu-Natal";"Swimming ";"M";"12";"Right thigh lacerated";"N";
"1932";"Unprovoked";"Eastern Cape Province";"Collecting fish by lamplight in gully";"M";"23";"Right shin, calf and sole of foot lacerated";"N";"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] "
"1930";"Invalid";"Eastern Cape Province";;"M";"17";"Remains of drowning victim recovered from 250-lb female ""blue fin"" shark";;"Shark involvement prior to death unconfirmed"
"1930";"Unprovoked";"Western Cape Province";"Swimming";"M";"23";"Torso & arm bitten";"N";"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern"
"1930";"Unprovoked";"Eastern Cape Province";"Swimming";"M";;"FATAL";"Y";
"1928";"Unprovoked";"Eastern Cape Province";;"F";;"Leg lacerated";"N";
"1928";"Unprovoked";"Eastern Cape Province";"Body surfing";"M";"18";"Foot bitten";"N";"1.2 m [4'] shark"
"1928";"Unprovoked";"KwaZulu-Natal";"Standing";"M";"25";"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ";"N";
"1927";"Unprovoked";"Western Cape Province";"Swimming";"M";"17";"FATAL, leg bitten  ";"Y";"White shark, 4.4 m [14.5'] . "
"1927";"Unprovoked";"Eastern Cape Province";"Body surfing";"M";;"Both thighs  lacerated";"N";"Raggedtooth shark, 1.5 m [5'] "
"1926";"Unprovoked";"Eastern Cape Province";"Swimming";"M";;"Thigh lacerated";"N";"""a blue shark"""
"1926";"Unprovoked";"Western Cape Province";"Swimming to mail boat";"M";;"No details";"UNKNOWN";
"1924";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"22";"FATAL";"Y";
"1924";"Unprovoked";"Eastern Cape Province";"Swimming";"M";;"Foot lacerated";"N";
"1922";"Unprovoked";"Western Cape Province";"Swimming";"M";"18";"Abdomen & thigh bitten";"N";"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark "
"1920";"Unprovoked";"Eastern Cape Province";"Floating face down";"F";"18";"Abdomen bitten";"N";
"1920";"Unprovoked";"KwaZulu-Natal";"Splashing";"M";"12";"Thigh & buttocks bitten. Not known if he survived.";"N";
"1914";"Unprovoked";"KwaZulu-Natal";;"F";;"No details";"UNKNOWN";
"1912";"Invalid";"KwaZulu-Natal";;"M";;;;"Shark involvement prior to death unconfirmed"
"1911";"Unprovoked";"Western Cape Province";"Bathing";"M";"64";"FATAL, partial remains recovered";"Y";
"1911";"Unprovoked";"Western Cape Province";"Swimming";"M";;"FATAL";"Y";
"1909";"Unprovoked";"Western Cape Province";;"M";;"Remains of soldier in uniform. Probable drowning & scavenging";"Y";"18-foot shark"
"1909";"Sea Disaster";"South Atlantic Ocean";"Wreck of the 1308-ton Norwegian ship Auckland";"F";;"FATAL";"Y";
"1908";"Unprovoked";"Western Cape Province";"Swimming";"M";"16";"FATAL";"Y";
"1906";"Unprovoked";"KwaZulu-Natal";"Washing horses";"M";"30";"FATAL, hips & thigh bitten ";"Y";"1.8 m to 2.7 m [6' to 9'] shark"
"1905";"Unprovoked";"KwaZulu-Natal";"Floating or standing";"M";;"FATAL, left torso, buttocks, thigh & foot bitten ";"Y";"2.4 m [8'] shark"
"1905";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"26";"FATAL, thigh bitten, femoral artery severed  ";"Y";
"1902";"Invalid";"Eastern Cape Province";"Swimming";"M";;"Probable drowning & scavenging";;"Questionable"
"1902";"Invalid";"KwaZulu-Natal";;"M";;"Possible drowning & scavenging. Remains were recovered from a 15' shark's gut";;"Questionable"
"1901";"Unprovoked";"Western Cape Province";"Swimming";"M";"29";"Right leg bitten & foot severed, right arm bitten, bones fractured & nearly severed FATAL";"Y";"White shark"
"1900";"Unprovoked";"Western Cape Province";"Swimming";"M";"30";"FATAL, legs severed";"Y";
"1900";"Invalid";"Western Cape Province";"Swimming";"M";;"Probable drowning & scavenging";;"Questionable"
"1900";"Unprovoked";"Eastern Cape Province";"Swimming";"M";;"Leg severed";"N";
"1899";"Unprovoked";"KwaZulu-Natal";"Dangling feet in the water";"M";;"Foot severed ";"N";
"1897";"Unprovoked";"KwaZulu-Natal";"Wading after stray fish from seine netter’s catch";"M";;"FATAL";"Y";
"1895";"Unprovoked";"Eastern Cape Province";"""Crossing the river""";"M";"28";"FATAL, right arm lacerated ";"Y";
"1894";"Unprovoked";"Western Cape Province";"Swimming after harpooned whale capsized boat";"M";;"FATAL";"Y";
"1890";"Invalid";"Eastern Cape Province";;"M";;"Forensic evidence indicated death resulted from drowning, his body was subsequently scavenged by a shark";;"Invalid"
"1890";"Unprovoked";"KwaZulu-Natal";"Bathing";"M";;"FATAL, leg bitten, foot partly severed ";"Y";
"1888";"Unprovoked";"Eastern Cape Province";"Crossing the river mouth";"M";;"FATAL";"Y";
"1887";"Provoked";"Western Cape Province";;;;"Harpooned shark, bit boat, causing it to ship water. Boat reached shore in sinking condition PROVOKED INCIDENT";"N";"4.7 m [15.5'] shark"
"1887";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"13";"FATAL, flesh removed hip to knee, calf & heel bitten ";"Y";
"1886";"Unprovoked";"Eastern Cape Province";"Diving off jetty";"M";;"Chest & buttocks bitten, left leg severed at knee";"N";
"1886";"Unprovoked";"Western Cape Province";"Swimming";"M";;"FATAL. Partial remains washed ashore the next day";"Y";
"1885";"Unprovoked";"KwaZulu-Natal";"Fishing";"M";;"No injury to occupant, rammed oar in shark's mouth and it bit the oar ";"N";"3 m [10'] shark"
"1884";"Unprovoked";"Eastern Cape Province";"Swimming";"M";;"FATAL";"Y";
"1878";"Sea Disaster";"Western Cape Province";"Wreck of the Union Steamship Company 982-ton iron steamer Kafir";"M";;"FATAL, shark removed large part of his hip";"Y";
"1877";"Invalid";"KwaZulu-Natal";"Body found floating next to his ship";"M";;"Although his body was bitten by a shark/s, bruises on his neck & face suggested foul play & a shipmate taken into custody but no charges made";;"Shark involvement prior to death unconfirmed"
"1875";"Invalid";"KwaZulu-Natal";;;;"Press reported that a 3 m shark  was caught with human remains in its gut, but  remains were those of a porpoise according to medical examiner";;"Invalid"
"1865";"Watercraft";"Western Cape Province";"Fishing";"M";;"FATAL: Boat capsized, sharks took fishermen";"Y";
"1863";"Invalid";"KwaZulu-Natal";"Swimming, caught in strong backwash & disappeared";"M";"26";"3.2 m [10.5'] shark caught 9 days later contained human remains thought to be those of Canham";;"Shark involvement prior to death unconfirmed"
"1862";"Unprovoked";"KwaZulu-Natal";;"M";;"""Very severe wounds""";"N";
"1862";"Unprovoked";"KwaZulu-Natal";"Bathing";"M";;"Lacerations";"N";
"1852";"Unprovoked";"KwaZulu-Natal";"Swimming from capsized boat";"M";;"FATAL";"Y";
"1852";"Sea Disaster";"Western Cape Province";"Wreck of the steamship Birkenhead";"M";;"FATAL. All of the women & children on board survived, but many of the 445 men that perished were taken by sharks";"Y";"White sharks"
"0000";"Unprovoked";"Western Cape Province";"Swimming";"M";;"FATAL, body not recovered";"Y";
"0000";"Unprovoked";"Eastern Cape Province";"Crossing river on a raft";"M";;"FATAL, leg severed";"Y";
"0000";"Unprovoked";"Western Cape Province";"Wading";"F";;"Ankle bitten";"N";
"0000";"Unprovoked";"KwaZulu-Natal";"Swimming in pool formed by construction of a wharf";"M";;"FATAL, leg severed ";"Y";
"0000";"Unprovoked";"KwaZulu-Natal";"Crew swimming alongside their anchored ship";"M";;"FATAL";"Y";
"0000";"Unprovoked";"KwaZulu-Natal";"4 men were bathing";"M";;"FATAL";"Y";
"0000";"Unprovoked";"KwaZulu-Natal";"Fishing";"M";;"FATAL, body not recovered but shark was caught with the man's loincloth in its gut shortly afterwards.";"Y";
"0000";"Unprovoked";"KwaZulu-Natal";"Wading";"M";;"FATAL, leg stripped of flesh  ";"Y";
