"Year";"Type";"Area";"Activity";"Sex ";"Age";"Injury";"Fatal (Y/N)";"Species "
"2006";"Unprovoked";"Western Cape Province";"Surfing";"M";;"No injury, surfboard leash severed";"N";"5 m shark"
"2006";"Unprovoked";"Western Cape Province";"Lifesaving drill";"M";"24";"Foot severed";"N";"White shark"
"2006";"Unprovoked";"Western Cape Province";"Surf-skiing";"M";"19";"No injury, surf ski bitten";"N";"White shark, 3m to 4m"
"2006";"Unprovoked";"Eastern Cape Province";"Body boarding";"M";"15";"Leg bitten";"N";"Raggedtooth shark, 2.5 m to 3 m "
"2006";"Invalid";"Eastern Cape Province";"Swimming";"M";"17";"FATAL, but shark involvement prior to death unconfirmed";;"Shark involvement prior to death was not confirmed"
"2006";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"15";"2 bite marks on right calf";"N";"Raggedtooth shark"
"2006";"Unprovoked";"Eastern Cape Province";"Spearfishing";"M";"34";"Right arm  bitten";"N";
"2006";"Unprovoked";"Western Cape Province";"Diving for crayfish";"M";"49";"Lacerations to little finger";"N";"Said to involve a 1.5 m shark"
"2005";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"26";"Cut on finger, board bitten";"N";
"2005";"Provoked";"Eastern Cape Province";"Fishing for sharks";"M";"32";"Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT";"N";"Raggedtooth shark, 2.5m "
"2005";"Unprovoked";"Western Cape Province";"Standing / Surfing";"M";"20";"Right foot bitten";"N";"3 m shark"
"2005";"Unprovoked";"Western Cape Province";"Surf-skiing";"M";"52";"No injury, shark bit ski";"N";"White shark"
"2005";"Invalid";"Western Cape Province";;;;"Human foot recovered from the water";;"Shark involvement prior to death was not confirmed"
"2005";"Unprovoked";"Western Cape Province";"Spearfishing (Free diving)";"M";"22";"FATAL";"Y";"White shark"
"2005";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"32";"Left buttock  & legs lacerated ";"N";"Raggedtooth shark"
"2005";"Unprovoked";"Western Cape Province";"Surfing";"M";"32";"Lacerations to right calf, puncture wounds on right foot";"N";"4 m [13'] shark"
"2005";"Invalid";"KwaZulu-Natal";;"M";"51";"Bites by 2.5 m tiger shark were post mortem";;"Invalid"
"2004";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"20";"3 lacerations on foot";"N";"Raggedtooth shark"
"2004";"Unprovoked";"Eastern Cape Province";"Playing";"M";"16";"Lacerations on lower leg & foot";"N";"Raggedtooth shark"
"2004";"Unprovoked";"Western Cape Province";"Swimming";"F";"77";"FATAL";"Y";"6 m [20'] white shark"
"2004";"Unprovoked";"Western Cape Province";"Chumming for white sharks";"M";"52";"Right ankle & foot lacerated";"N";"2 m [6.75'] white shark"
"2004";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"34";"Puncture wounds on right foot";"N";"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
"2004";"Watercraft";"KwaZulu-Natal";"Fishing";;;"No injury to occupants; boat damaged";"N";"3 m to 4 m [10' to 13']  white shark"
"2004";"Unprovoked";"Western Cape Province";"Swimming, poaching perlemoen";"M";"21";"FATAL, leg severed ";"Y";"White shark"
"2004";"Unprovoked";"Western Cape Province";"Surfing";"M";"16";"Left leg lacerated, right leg severed above the knee ";"N";"5 m [16.5'] white shark"
